,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,1971620,['Additional High-Quality Audio'],music,Damsel Stone,Damsel Stone,Familiar Soundtrack,0 .. 20 k,99,"30 Apr, 2022"
1,775380,"['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']",music,Gabriel Oliveira,Hifire Game Studio,OSES - Soundtrack,0 .. 20 k,299,"5 Jan, 2018"
2,863960,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",dlc,SaintHeiser,Half-Face Games,Tower Bombarde OST,0 .. 20 k,79,"18 May, 2018"
3,1064760,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Commentary available']",dlc,Alpheratz*,Alpheratz*,Moonlight thief Original Sound Track,0 .. 20 k,659,"30 Apr, 2019"
4,1262480,[],music,Blekoh,Blekoh,Beardy McStrongarm Soundtrack,0 .. 20 k,159,"30 Mar, 2020"
5,1764620,[],music,Flying Butter,Flying Butter,Intemporel Soundtrack,0 .. 20 k,239,"26 Nov, 2021"
6,694080,"['Single-player', 'Downloadable Content']",dlc,Spinal Games,Spinal Games,Mayhem Above - Soundtrack,0 .. 20 k,299,"14 Aug, 2017"
7,1101150,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",dlc,Horos Interactive,Audio Visual Enterprises S.A.,Catch The Head - Collector's Edition Upgrade,0 .. 20 k,699,"29 Aug, 2019"
8,1664600,[],music,Richard Borges,Richard Borges,Brian the Brain Soundtrack,0 .. 20 k,99,"17 Jun, 2021"
9,1873100,[],music,Hannes Legner,Hannes Legner,Red Bash Soundtrack,0 .. 20 k,299,"21 Jan, 2022"
10,689490,"['Single-player', 'Downloadable Content']",dlc,Cascade of Leaves,,Anomie - OST,0 .. 20 k,299,"22 Aug, 2017"
11,831170,"['Single-player', 'Downloadable Content']",dlc,ULAS,Yak Studios LLC,Galactic Delivery Soundtrack,0 .. 20 k,499,"23 Mar, 2018"
12,1403880,[],music,Growfall Games,Growfall Games,Mustache or Revenge OST,0 .. 20 k,99,"21 Oct, 2020"
13,1810120,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Octillion Entertainment,,Easy Quiz - This One Is Free,0 .. 20 k,,"6 Jun, 2022"
14,1886980,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,Alright Peaches Studio,Alright Peaches Studio,Drop one NPC to another - Girlfriend predictor,0 .. 20 k,,"6 Oct, 2022"
15,779350,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Downloadable Content', 'Partial Controller Support']",dlc,Lorenzo Entertainment,Lorenzo Entertainment,TRAFICO - Battle Royale Test Server,0 .. 20 k,,"30 Apr, 2018"
16,1574460,[],music,Ark1nai,Ark1nai,Outright Soundtrack,0 .. 20 k,239,"31 Mar, 2021"
17,424800,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']",dlc,White Clover Worlds,,The BoX - OST,0 .. 20 k,499,"3 Dec, 2015"
18,913480,['Single-player'],music,About Airplane LLC,,TripTrip - Official Soundtrack,0 .. 20 k,79,"16 Aug, 2018"
19,1611630,[],music,Nimos Games,Nimos Games,Magic Frame Soundtrack,0 .. 20 k,79,"24 May, 2021"
20,1039210,"['Single-player', 'Downloadable Content', 'Steam Cloud']",dlc,"Silverware Games, Inc.","Silverware Games, Inc.",MatchyGotchy Z - Fun Pack,0 .. 20 k,159,"26 Feb, 2019"
21,1323360,[],music,Sunburst Studio,Sunburst Studio,Sliptime Sleuth OST,0 .. 20 k,399,"25 Jun, 2020"
22,1000290,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support']",dlc,Half-Face Games,Half-Face Games,Heavy Memories OST,0 .. 20 k,159,"13 Dec, 2018"
23,1162810,[],music,Sweet Dreams Studio,,Spirit Arena - Original Soundtrack,0 .. 20 k,399,"25 Sep, 2019"
24,463950,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",dlc,Fastermind Games,Sekai Project,Selenon Rising - Episode 2,0 .. 20 k,589,"10 Jul, 2017"
25,463951,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",dlc,Fastermind Games,Sekai Project,Selenon Rising - Episode 3,0 .. 20 k,,Coming soon
26,800260,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,Afterthought Studios,,On Earth As It Is In Heaven OST,0 .. 20 k,599,"8 Feb, 2018"
27,800261,"['Single-player', 'Downloadable Content']",dlc,Afterthought Studios,,On Earth As It Is In Heaven Artbook,0 .. 20 k,819,"8 Jun, 2018"
28,1666080,['Additional High-Quality Audio'],music,Fono Labs,Fono Labs,Fono Original Soundtrack,0 .. 20 k,239,"15 Jul, 2021"
29,1651100,['Additional High-Quality Audio'],music,Weird Stuff Studio,Weird Stuff Studio,16bit vs Reality Soundtrack,0 .. 20 k,659,"17 Jun, 2021"
30,1537400,"['Single-player', 'Downloadable Content']",dlc,小小游戏工作室,,Goddess Of Card War DLC-1,0 .. 20 k,79,"4 Mar, 2021"
31,1537401,"['Single-player', 'Downloadable Content']",dlc,小小游戏工作室,,Goddess Of Card War DLC-2,0 .. 20 k,79,"4 Mar, 2021"
