,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,449730,Ahnayro: The Dream World,Alice & Smith,Alice & Smith,,231,32,0,50 k .. 100 k,0,0,0,0,4.99,499,0,1,"['windows', 'mac']","1 Dec, 2016","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",[572780],1,['English'],"Adventure, Casual, Indie, Strategy","['Adventure', 'Indie', 'Strategy', 'Puzzle', 'Historical', 'Casual', 'Horror', 'Early Access']",0.8783269961977186
1,1761660,The Van of Justice,Mahn-In Studios,Mahn-In Studios,,10,0,0,50 k .. 100 k,0,0,0,0,0.0,0,0,2,['windows'],"18 Nov, 2021",['Single-player'],[],2,['English'],"Action, Casual, Indie, Simulation","['Action', 'Physics', 'Cute', 'Comedy', 'Destruction', 'Conspiracy', 'Capitalism', '3D Fighter', 'Funny', 'Tutorial', 'Loot', 'Third Person', 'Heist', 'Sandbox', 'Hidden Object', 'Assassin', 'Colorful', 'Dark Comedy', 'Horror', 'Third-Person Shooter']",1.0
2,555260,The Butterfly Sign: Human Error,Quantum Phoenix Bucharest,Quantum Phoenix Bucharest,,40,38,0,50 k .. 100 k,0,0,0,0,4.99,499,0,0,['windows'],"16 Mar, 2017","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",[],0,"['English', 'Russian', 'German']","Action, Adventure, Indie","['Adventure', 'Action', 'Indie']",0.5128205128205128
3,1035750,文字獄,Jia-Ho Jian,Jia-Ho Jian,,273,27,0,50 k .. 100 k,0,0,0,0,0.0,0,0,2,"['windows', 'mac', 'linux']","13 Mar, 2019",['Single-player'],[],2,"['English', 'Not supported', 'Traditional Chinese']","Adventure, Free to Play, Indie","['Free to Play', 'Indie', 'Adventure', 'Puzzle']",0.91
4,474050,Candy Blast,White Rabbit Games,White Rabbit Games,,81,59,0,50 k .. 100 k,0,0,0,0,0.49,499,90,40,['windows'],"30 Jun, 2016","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",[],40,"['English', 'French']","Casual, Indie","['Clicker', 'Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Cute', 'Family Friendly', 'Action', 'Match 3', 'Relaxing', 'Controller', 'Narration', 'Nonlinear', 'Physics', 'Turn-Based', 'Psychological Horror']",0.5785714285714286
5,218020,Nethergate: Resurrection,Spiderweb Software,Spiderweb Software,,83,11,0,50 k .. 100 k,0,0,0,0,4.99,499,0,0,['windows'],"5 Oct, 2012",['Single-player'],[],0,['English'],"Strategy, RPG, Indie","['RPG', 'Indie', 'Strategy', 'Turn-Based', 'Fantasy', 'Isometric', 'CRPG']",0.8829787234042553
6,341860,SickBrick,"Maxwolf, Fox","Maxwolf, Fox",,111,93,0,50 k .. 100 k,0,0,0,0,0.0,0,0,0,"['windows', 'mac', 'linux']","30 Jan, 2015","['Single-player', 'Partial Controller Support', 'Steam Cloud']",[],0,['English'],"Action, Adventure, Indie","['Indie', 'Action', 'Adventure', 'FPS', 'Sci-fi', 'Short', 'Shooter']",0.5441176470588235
7,411310,"Codename: Panzers, Phase One","Stormregion, THQ Nordic",THQ Nordic,,342,31,0,50 k .. 100 k,0,0,0,0,14.99,1499,0,0,['windows'],"18 Feb, 2016","['Single-player', 'Multi-player', 'Includes level editor']",[443740],0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Hungarian', 'Polish', 'Russian']","Simulation, Strategy","['Strategy', 'Simulation', 'War', 'RTS', 'World War II', 'Classic', 'Multiplayer', 'Singleplayer', 'Great Soundtrack', 'Tanks']",0.9168900804289544
8,493780,Nightork Adventures - Beyond the Moons of Shadalee,Warptear Entertainment,Warptear Entertainment,,27,30,0,50 k .. 100 k,0,0,0,0,0.0,0,0,0,['windows'],"23 Aug, 2016","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",[],0,['English'],"Action, Indie, Simulation","['Action', 'Simulation', 'Arcade', 'Shooter', 'Third-Person Shooter', 'Colorful', 'Voxel', 'Procedural Generation', 'Space', 'Demons', 'Sci-fi', 'Futuristic', 'Level Editor', 'Indie', 'Free to Play', '3D', 'Third Person', 'Singleplayer', 'Bullet Hell', 'Combat']",0.47368421052631576
9,314240,RPG Tycoon,Skatanic Studios,GSProductions Ltd.,,252,237,0,50 k .. 100 k,0,0,0,0,9.99,999,0,0,"['windows', 'mac']","12 Feb, 2016","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats']","[436190, 551250, 570920]",0,['English'],"Adventure, Indie, RPG, Simulation, Strategy","['RPG', 'Simulation', 'Management', 'Strategy', 'Indie', 'Adventure', 'Pixel Graphics', 'City Builder', 'Early Access']",0.5153374233128835
