,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,ccu,languages,genres,tags,Review_rating
0,570,Dota 2,Valve,Valve,,1688350,364904,0,200 M .. 500 M,31189,1568,2476,1343,0.0,0,0,576198,"['windows', 'mac', 'linux']","9 Jul, 2013","['Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled']",576198,"['English', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Greek', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Spanish - Latin America', 'Vietnamese']","Action, Free to Play, Strategy","['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'e-sports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'Tower Defense', 'RPG', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",0.8222801465381292
1,730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,6686707,840120,0,100 M .. 200 M,35229,596,4531,415,0.0,0,0,1164766,"['windows', 'mac', 'linux']","21 Aug, 2012","['Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",1164766,"['English', 'Czech', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Bulgarian', 'Ukrainian', 'Greek', 'Spanish - Latin America', 'Vietnamese']","Action, Free to Play","['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'e-sports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']",0.8883832456890532
2,1172470,Apex Legends,Respawn Entertainment,Electronic Arts,,575033,142955,0,50 M .. 100 M,9972,625,2355,522,0.0,0,0,357478,['windows'],"4 Nov, 2020","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']",357478,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America', 'Arabic']","Action, Adventure, Free to Play","['Free to Play', 'Multiplayer', 'Battle Royale', 'Shooter', 'FPS', 'First-Person', 'PvP', 'Action', 'Team-Based', 'Hero Shooter', 'Tactical', 'Sci-fi', 'Survival', 'Character Customization', 'Loot', 'Funny', 'Co-op', 'Lore-Rich', 'Cyberpunk', 'Horror']",0.8008950010306579
3,578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",,1275045,946006,0,50 M .. 100 M,22181,104,8186,123,0.0,0,0,353924,['windows'],"21 Dec, 2017","['Multi-player', 'PvP', 'Online PvP', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet']",353924,"['English', 'Korean', 'Simplified Chinese', 'French', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Polish', 'Portuguese - Portugal', 'Russian', 'Turkish', 'Thai', 'Italian', 'Portuguese - Brazil', 'Traditional Chinese', 'Ukrainian']","Action, Adventure, Free to Play, Massively Multiplayer","['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']",0.5740728150771864
4,1063730,New World,Amazon Games,Amazon Games,,182925,77355,0,50 M .. 100 M,7441,3,10298,3,39.99,3999,0,20515,['windows'],"28 Sep, 2021","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases']",20515,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Spanish - Latin America']","Action, Adventure, Massively Multiplayer, RPG","['Massively Multiplayer', 'Open World', 'MMORPG', 'RPG', 'Adventure', 'Action', 'PvP', 'PvE', 'Multiplayer', 'Walking Simulator', 'Fantasy', 'Character Customization', 'Crafting', 'Third Person', 'Co-op', 'Open World Survival Craft', 'Sandbox', 'Violent', 'Sexual Content', 'Singleplayer']",0.7028008298755186
5,440,Team Fortress 2,Valve,Valve,,928388,60633,0,50 M .. 100 M,11687,1058,306,1058,0.0,0,0,88978,"['windows', 'mac', 'linux']","10 Oct, 2007","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'In-App Purchases', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet']",88978,"['English', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean', 'Czech', 'Hungarian', 'Portuguese - Brazil', 'Turkish', 'Greek', 'Bulgarian', 'Romanian', 'Thai', 'Ukrainian']","Action, Free to Play","['Free to Play', 'Hero Shooter', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Online Co-Op', 'Competitive', 'Cartoony', 'Trading', 'Co-op', 'Comedy', 'Robots', 'Tactical', 'Cartoon', 'Crafting']",0.9386939205537598
6,271590,Grand Theft Auto V,Rockstar North,Rockstar Games,,1413495,228249,0,50 M .. 100 M,14927,35,6321,69,26.4,2640,0,122225,['windows'],"13 Apr, 2015","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",122225,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Japanese', 'Simplified Chinese', 'Spanish - Latin America']","Action, Adventure","['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Shooter', 'Mature', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Atmospheric', 'Sandbox', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']",0.8609716252960267
7,1599340,Lost Ark,Smilegate RPG,Amazon Games,,139772,55399,0,50 M .. 100 M,1521,7,532,7,0.0,0,0,43781,['windows'],"11 Feb, 2022","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']",43781,"['English', 'French', 'German', 'Spanish - Spain']","Action, Adventure, Massively Multiplayer, RPG, Free to Play","['MMORPG', 'Free to Play', 'Action RPG', 'Multiplayer', 'Hack and Slash', 'RPG', 'Character Customization', 'Massively Multiplayer', 'Action', 'Adventure', 'Fantasy', 'PvP', 'PvE', 'Sexual Content', 'Isometric', 'Online Co-Op', 'Class-Based', 'Violent', 'Singleplayer', 'Gore']",0.716151477422363
8,550,Left 4 Dead 2,Valve,Valve,,759839,19202,0,50 M .. 100 M,1127,494,488,494,9.99,999,0,49110,"['windows', 'mac', 'linux']","16 Nov, 2009","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",49110,"['English', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Hungarian', 'Turkish', 'Bulgarian', 'Czech', 'Greek', 'Portuguese - Brazil', 'Romanian', 'Spanish - Latin America', 'Thai', 'Ukrainian', 'Vietnamese']",Action,"['Zombies', 'Co-op', 'FPS', 'Multiplayer', 'Shooter', 'Online Co-Op', 'Action', 'Survival', 'Horror', 'First-Person', 'Gore', 'Team-Based', 'Moddable', 'Survival Horror', 'Post-apocalyptic', 'Singleplayer', 'Adventure', 'Local Co-Op', 'Replay Value', 'Tactical']",0.9753517465704629
9,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,478368,44495,0,20 M .. 50 M,1490,0,383,0,0.0,0,0,57194,"['windows', 'mac', 'linux']","7 Jul, 2017","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Remote Play on Tablet']",57194,['English'],"Action, Adventure, Casual, Free to Play, Indie","['Free to Play', 'Survival', 'Zombies', 'Multiplayer', 'Open World', 'Co-op', 'Crafting', 'Sandbox', 'Adventure', 'Shooter', 'Post-apocalyptic', 'First-Person', 'Looter Shooter', 'FPS', 'Singleplayer', 'Action', 'Massively Multiplayer', 'Atmospheric', 'Indie', 'Casual']",0.914901226516315
10,252490,Rust,Facepunch Studios,Facepunch Studios,,838648,125688,0,20 M .. 50 M,17428,67,1684,67,39.99,3999,0,82642,"['windows', 'mac']","8 Feb, 2018","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']",82642,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Ukrainian', 'Polish', 'Portuguese - Portugal', 'Turkish', 'Arabic', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Norwegian', 'Portuguese - Brazil', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese', 'Vietnamese']","Action, Adventure, Indie, Massively Multiplayer, RPG","['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'Nudity', 'FPS', 'Co-op', 'Shooter', 'Online Co-Op', 'Indie', 'Early Access', 'Post-apocalyptic', 'Simulation']",0.8696636856863168
11,230410,Warframe,Digital Extremes,Digital Extremes,,475145,74467,0,20 M .. 50 M,8616,0,1079,0,0.0,0,0,50865,['windows'],"25 Mar, 2013","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",50865,"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Turkish', 'Ukrainian']","Action, RPG, Free to Play","['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'Singleplayer', 'PvE', 'Sci-fi', 'Lore-Rich', 'Space', 'Shooter', 'Hack and Slash', 'Parkour', 'Ninja']",0.8645098724190884
12,105600,Terraria,Re-Logic,Re-Logic,,1162428,27416,0,20 M .. 50 M,5802,147,1176,294,9.99,999,0,45802,"['windows', 'mac', 'linux']","16 May, 2011","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",45802,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']","Action, Adventure, Indie, RPG","['Open World Survival Craft', 'Sandbox', 'Survival', '2D', 'Multiplayer', 'Adventure', 'Pixel Graphics', 'Crafting', 'Building', 'Exploration', 'Co-op', 'Open World', 'Online Co-Op', 'Indie', 'Action', 'RPG', 'Singleplayer', 'Replay Value', 'Platformer', 'Atmospheric']",0.9769583239483496
13,4000,Garry's Mod,Facepunch Studios,Valve,,966136,32877,0,20 M .. 50 M,4892,0,2934,0,9.99,999,0,21823,"['windows', 'mac', 'linux']","29 Nov, 2006","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Remote Play on Tablet']",21823,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian']","Indie, Simulation","['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Mod', 'Comedy', 'Co-op', 'First-Person', 'Physics', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Action', 'Shooter', 'Animation & Modeling', 'Indie', 'Massively Multiplayer', 'Adventure']",0.9670905183416032
14,1245620,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",,652136,55688,0,20 M .. 50 M,10878,2749,6659,2749,59.99,5999,0,24305,['windows'],"24 Feb, 2022","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",24305,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese']","Action, RPG","['Souls-like', 'Dark Fantasy', 'RPG', 'Open World', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'PvP', 'Co-op', 'Violent', 'Atmospheric', 'Great Soundtrack', '3D', 'Character Customization', 'Family Friendly']",0.9213250751599268
15,236390,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,321362,227147,0,20 M .. 50 M,14110,637,371,1224,0.0,0,0,54521,"['windows', 'mac', 'linux']","Aug 15, 2013","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",54521,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Czech', 'Turkish', 'Portuguese - Portugal', 'Korean', 'Portuguese - Brazil', 'Hungarian', 'Ukrainian', 'Traditional Chinese', 'Romanian']","Action, Massively Multiplayer, Simulation, Free to Play","['Free to Play', 'Vehicular Combat', 'Combat', 'VR', 'World War II', 'Flight', 'War', 'Military', 'Tanks', 'Naval Combat', 'Modern', 'Simulation', 'Cold War', 'Massively Multiplayer', 'Action', 'Shooter', 'Third-Person Shooter', 'Realistic', 'Third Person', 'Historical']",0.5858828205188976
16,291550,Brawlhalla,Blue Mammoth Games,Ubisoft,,280172,56660,0,20 M .. 50 M,1630,127,482,127,0.0,0,0,16119,"['windows', 'mac']","17 Oct, 2017","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",16119,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","Action, Indie, Free to Play","['Free to Play', 'Multiplayer', 'Fighting', '2D Fighter', 'Casual', '2D Platformer', 'Local Multiplayer', 'Co-op', 'Action', 'Controller', 'Fantasy', 'Platformer', 'Local Co-Op', 'Online Co-Op', 'Family Friendly', '4 Player Local', 'e-sports', 'Cartoony', 'Singleplayer', 'Indie']",0.831785578567357
17,359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,,1014923,164881,0,20 M .. 50 M,18471,903,6366,1496,19.99,1999,0,71874,['windows'],"1 Dec, 2015","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']",71874,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Simplified Chinese', 'Turkish', 'Thai']",Action,"['FPS', 'PvP', 'e-sports', 'Multiplayer', 'Tactical', 'Shooter', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'War', 'Strategy', 'Realistic', 'Destruction', 'Co-op', 'First-Person', 'Difficult', '3D']",0.8602471257937759
